Dataset,K,Algorithm,Seed,Fitness,Distance,Infeasibility,Evaluations,Time
data/bupa_set,30,ILS,1004,0.133642,0.104851,334,100000,29.3916
data/bupa_set,30,ILS,1005,0.133969,0.10104,382,100000,29.3087
data/bupa_set,30,ILS,1006,0.136586,0.10788,333,100000,29.2346
data/bupa_set,30,ILS,1007,0.132424,0.100443,371,100000,29.5752
data/bupa_set,30,ILS,1008,0.133962,0.106636,317,100000,29.3708
data/bupa_set,30,ILS,1009,0.134829,0.104572,351,100000,29.3142
data/bupa_set,30,ILS-ES,1000,0.188871,0.131719,663,100000,29.0248
data/bupa_set,30,ILS-ES,1001,0.185007,0.135872,570,100000,29.0294
data/bupa_set,30,ILS-ES,1002,0.18704,0.138336,565,100000,29.0996
data/bupa_set,30,ILS-ES,1003,0.189441,0.139961,574,100000,29.0973
data/bupa_set,30,ILS-ES,1004,0.189177,0.139007,582,100000,29.0295
data/bupa_set,30,ILS-ES,1005,0.187629,0.137718,579,100000,28.9991
data/bupa_set,30,ILS-ES,1006,0.188411,0.137466,591,100000,29.1673
data/bupa_set,30,ILS-ES,1007,0.188602,0.142829,531,100000,27.6794
data/bupa_set,30,ILS-ES,1008,0.189672,0.135624,627,100000,29.0289
data/bupa_set,30,ILS-ES,1009,0.185385,0.133578,601,100000,29.0372
data/bupa_set,30,GRASP,1000,0.139371,0.106183,385,100000,29.6478
data/bupa_set,30,GRASP,1001,0.139263,0.104178,407,100000,29.5803
data/bupa_set,30,GRASP,1002,0.13772,0.105652,372,100000,29.585
data/bupa_set,30,GRASP,1003,0.139045,0.106202,381,100000,29.3933
data/bupa_set,30,GRASP,1004,0.137686,0.108033,344,100000,29.3616
data/bupa_set,30,GRASP,1005,0.138445,0.105602,381,100000,29.3004
data/bupa_set,30,GRASP,1006,0.139296,0.108608,356,100000,29.3143
data/bupa_set,30,GRASP,1007,0.138387,0.106579,369,100000,29.5488
data/bupa_set,30,GRASP,1008,0.140153,0.108172,371,100000,29.31
data/bupa_set,30,GRASP,1009,0.136843,0.107534,340,100000,29.4464
data/glass_set,15,RandomSearch,1000,0.517265,0.400747,176,100000,6.55373
data/glass_set,15,RandomSearch,1001,0.515019,0.390556,188,100000,6.52936
data/glass_set,15,RandomSearch,1002,0.517228,0.40402,171,100000,6.48941
data/glass_set,15,RandomSearch,1003,0.515066,0.409802,159,100000,6.49989
data/glass_set,15,RandomSearch,1004,0.516613,0.403405,171,100000,6.50131
data/glass_set,15,RandomSearch,1005,0.519019,0.407797,168,100000,6.49339
data/glass_set,15,RandomSearch,1006,0.514961,0.389836,189,100000,6.49319
data/glass_set,15,RandomSearch,1007,0.515802,0.403256,170,100000,6.49421
data/glass_set,15,RandomSearch,1008,0.522754,0.400277,185,100000,6.49446
data/glass_set,15,RandomSearch,1009,0.511199,0.378792,200,100000,6.50533
data/glass_set,15,GreedySearch,1000,0.345396,0.345396,0,1,0.00819107
data/glass_set,15,GreedySearch,1001,0.343879,0.343879,0,1,0.0105323
data/glass_set,15,GreedySearch,1002,0.332796,0.332796,0,1,0.00812076
data/glass_set,15,GreedySearch,1003,0.340742,0.340742,0,1,0.00575653
data/glass_set,15,GreedySearch,1004,0.321304,0.321304,0,1,0.00932857
data/glass_set,15,GreedySearch,1005,0.328881,0.328881,0,1,0.0105092
data/glass_set,15,GreedySearch,1006,0.326143,0.326143,0,1,0.00696297
data/glass_set,15,GreedySearch,1007,0.339916,0.339916,0,1,0.00699211
data/glass_set,15,GreedySearch,1008,0.339318,0.339318,0,1,0.00576285
data/glass_set,15,GreedySearch,1009,0.327568,0.327568,0,1,0.00814471
data/glass_set,15,LocalSearch,1000,0.224194,0.199037,38,28706,1.667
data/glass_set,15,LocalSearch,1001,0.220669,0.192864,42,67859,3.93885
data/glass_set,15,LocalSearch,1002,0.230238,0.197137,50,22408,1.35494
data/glass_set,15,LocalSearch,1003,0.219299,0.190832,43,35611,2.13896
data/glass_set,15,LocalSearch,1004,0.222548,0.184811,57,29525,1.77985
data/glass_set,15,LocalSearch,1005,0.234686,0.205556,44,25917,1.55923
data/glass_set,15,LocalSearch,1006,0.218693,0.184929,51,41282,2.39107
data/glass_set,15,LocalSearch,1007,0.218823,0.183073,54,29427,1.73724
data/glass_set,15,LocalSearch,1008,0.218939,0.185175,51,38435,2.30783
data/glass_set,15,LocalSearch,1009,0.218695,0.190889,42,44800,2.67298
data/glass_set,15,AM-Best,1000,0.222911,0.192457,46,100000,5.79287
data/glass_set,15,AM-Best,1001,0.229273,0.200806,43,100000,5.78927
data/glass_set,15,AM-Best,1002,0.215669,0.188525,41,100000,5.792
data/glass_set,15,AM-Best,1003,0.233607,0.203153,46,100000,5.80383
data/glass_set,15,AM-Best,1004,0.220933,0.195776,38,100000,5.80274
data/glass_set,15,AM-Best,1005,0.213749,0.18462,44,100000,5.81989
data/glass_set,15,AM-Best,1006,0.233914,0.202136,48,100000,5.79789
data/glass_set,15,AM-Best,1007,0.219295,0.190827,43,100000,5.80376
data/glass_set,15,AM-Best,1008,0.222196,0.196377,39,100000,5.8059
data/glass_set,15,AM-Best,1009,0.214477,0.184023,46,100000,5.81
data/glass_set,15,SimulatedAnnealing,1000,0.250426,0.198125,79,100000,5.74789
data/glass_set,15,SimulatedAnnealing,1001,0.243576,0.195247,73,100000,5.74196
data/glass_set,15,SimulatedAnnealing,1002,0.242412,0.196069,70,100000,5.74304
data/glass_set,15,SimulatedAnnealing,1003,0.244574,0.198893,69,100000,5.73928
data/glass_set,15,SimulatedAnnealing,1004,0.25419,0.2052,74,100000,5.74595
data/glass_set,15,SimulatedAnnealing,1005,0.254404,0.207399,71,100000,5.73771
data/glass_set,15,SimulatedAnnealing,1006,0.252343,0.211958,61,100000,5.74375
data/glass_set,15,SimulatedAnnealing,1007,0.246141,0.19715,74,100000,5.74167
data/glass_set,15,SimulatedAnnealing,1008,0.247776,0.20342,67,100000,5.74508
data/glass_set,15,SimulatedAnnealing,1009,0.254794,0.197859,86,100000,5.74276
data/glass_set,15,SimulatedAnnealingFast,1000,0.26298,0.242457,31,100000,0.137257
data/glass_set,15,SimulatedAnnealingFast,1001,0.268484,0.257229,17,100000,0.13761
data/glass_set,15,SimulatedAnnealingFast,1002,0.27118,0.249995,32,100000,0.133474
data/glass_set,15,SimulatedAnnealingFast,1003,0.259928,0.242715,26,100000,0.136691
data/glass_set,15,SimulatedAnnealingFast,1004,0.26552,0.246321,29,100000,0.134063
data/glass_set,15,SimulatedAnnealingFast,1005,0.251352,0.234801,25,100000,0.132583
data/glass_set,15,SimulatedAnnealingFast,1006,0.261107,0.238598,34,100000,0.134049
data/glass_set,15,SimulatedAnnealingFast,1007,0.26873,0.250193,28,100000,0.135222
data/glass_set,15,SimulatedAnnealingFast,1008,0.259824,0.237977,33,100000,0.137298
data/glass_set,15,SimulatedAnnealingFast,1009,0.265115,0.249226,24,100000,0.134347
data/glass_set,15,BMB,1000,0.220461,0.189345,47,100000,5.84495
data/glass_set,15,BMB,1001,0.22803,0.201548,40,100000,5.84171
data/glass_set,15,BMB,1002,0.218195,0.179797,58,100000,5.84017
data/glass_set,15,BMB,1003,0.221986,0.191532,46,100000,5.83452
data/glass_set,15,BMB,1004,0.223248,0.186836,55,100000,5.84313
data/glass_set,15,BMB,1005,0.216513,0.180763,54,100000,5.83978
data/glass_set,15,BMB,1006,0.221594,0.18452,56,100000,5.84133
data/glass_set,15,BMB,1007,0.220421,0.184671,54,100000,5.83835
data/glass_set,15,BMB,1008,0.222817,0.19104,48,100000,5.83626
data/glass_set,15,BMB,1009,0.218236,0.184472,51,100000,5.83846
